ilosc,nazwaUczelni,nazwaKierunku,nazwaStopnia
3,AKADEMIA IM. JAKUBA Z PARADYŻA W GORZOWIE WIELKOPOLSKIM                                                                                                                                                                                                        ,Turystyka i rekreacja,Studia drugiego stopnia
3,AKADEMIA MUZYCZNA IM. FELIKSA NOWOWIEJSKIEGO W BYDGOSZCZY                                                                                                                                                                                                      ,Dyrygentura,Studia pierwszego stopnia
3,AKADEMIA MUZYCZNA IM. FELIKSA NOWOWIEJSKIEGO W BYDGOSZCZY                                                                                                                                                                                                      ,Kompozycja i teoria muzyki,Studia drugiego stopnia
3,AKADEMIA MUZYCZNA IM. GRAŻYNY I KIEJSTUTA BACEWICZÓW W ŁODZI                                                                                                                                                                                                   ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia drugiego stopnia
3,AKADEMIA MUZYCZNA IM. KAROLA LIPIŃSKIEGO WE WROCŁAWIU                                                                                                                                                                                                          ,Wokalistyka,Studia drugiego stopnia
3,AKADEMIA POLONIJNA W CZĘSTOCHOWIE                                                                                                                                                                                                                              ,Ekonomia,Studia pierwszego stopnia
3,AKADEMIA SZTUK PIĘKNYCH IM. EUGENIUSZA GEPPERTA WE WROCŁAWIU                                                                                                                                                                                                   ,Grafika,Studia drugiego stopnia
3,AKADEMIA SZTUKI WOJENNEJ W WARSZAWIE                                                                                                                                                                                                                           ,Administracja,Studia pierwszego stopnia
3,AKADEMIA SZTUKI WOJENNEJ W WARSZAWIE                                                                                                                                                                                                                           ,Administracja,Studia pierwszego stopnia
3,AKADEMIA TECHNICZNO-HUMANISTYCZNA W BIELSKU-BIAŁEJ                                                                                                                                                                                                             ,Filologia polska,Studia drugiego stopnia
3,AKADEMIA TECHNICZNO-HUMANISTYCZNA W BIELSKU-BIAŁEJ                                                                                                                                                                                                             ,Inżynieria materiałowa,Studia drugiego stopnia
3,AKADEMIA WSB W DĄBROWIE GÓRNICZEJ                                                                                                                                                                                                                              ,Ratownictwo medyczne,Studia pierwszego stopnia
3,CHRZEŚCIJAŃSKA AKADEMIA TEOLOGICZNA W WARSZAWIE                                                                                                                                                                                                                ,Pedagogika,Studia drugiego stopnia
3,CHRZEŚCIJAŃSKA AKADEMIA TEOLOGICZNA W WARSZAWIE                                                                                                                                                                                                                ,Praca socjalna,Studia pierwszego stopnia
3,CHRZEŚCIJAŃSKA AKADEMIA TEOLOGICZNA W WARSZAWIE                                                                                                                                                                                                                ,Pedagogika,Studia drugiego stopnia
3,CHRZEŚCIJAŃSKA AKADEMIA TEOLOGICZNA W WARSZAWIE                                                                                                                                                                                                                ,Praca socjalna,Studia pierwszego stopnia
3,COLLEGIUM MASOVIENSE - WYŻSZA SZKOŁA NAUK O ZDROWIU W ŻYRARDOWIE                                                                                                                                                                                               ,Ratownictwo medyczne,Studia pierwszego stopnia
3,COLLEGIUM MASOVIENSE - WYŻSZA SZKOŁA NAUK O ZDROWIU W ŻYRARDOWIE                                                                                                                                                                                               ,Ratownictwo medyczne,Studia pierwszego stopnia
3,EUROPEJSKA UCZELNIA W WARSZAWIE                                                                                                                                                                                                                                ,Pedagogika,Studia pierwszego stopnia
3,EUROPEJSKA UCZELNIA W WARSZAWIE                                                                                                                                                                                                                                ,Pedagogika,Studia pierwszego stopnia
3,EWANGELIKALNA WYŻSZA SZKOŁA TEOLOGICZNA WE WROCŁAWIU                                                                                                                                                                                                           ,Teologia,Studia pierwszego stopnia
3,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Filologia klasyczna,Studia pierwszego stopnia
3,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Socjologia,Studia drugiego stopnia
3,"PAŃSTWOWA WYŻSZA SZKOŁA FILMOWA, TELEWIZYJNA I TEATRALNA IM. LEONA SCHILLERA W ŁODZI                                                                                                                                                                           ",Reżyseria,Studia pierwszego stopnia
3,"PAŃSTWOWA WYŻSZA SZKOŁA FILMOWA, TELEWIZYJNA I TEATRALNA IM. LEONA SCHILLERA W ŁODZI                                                                                                                                                                           ",Reżyseria,Studia drugiego stopnia
3,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA IM. HIPOLITA CEGIELSKIEGO W GNIEŹNIE                                                                                                                                                                                          ,Inżynieria środowiska,Studia pierwszego stopnia
3,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W ELBLĄGU                                                                                                                                                                                                                     ,Filologia (filologia angielska),Studia pierwszego stopnia
3,PAŃSTWOWA WYŻSZA SZKOŁA ZAWODOWA W TARNOWIE                                                                                                                                                                                                                    ,Fizjoterapia,Studia pierwszego stopnia
3,POLITECHNIKA CZĘSTOCHOWSKA                                                                                                                                                                                                                                     ,Fizyka techniczna,Studia pierwszego stopnia
3,POLITECHNIKA ŁÓDZKA                                                                                                                                                                                                                                            ,Inżynieria kosmiczna,Studia pierwszego stopnia
3,POLITECHNIKA ŚLĄSKA W GLIWICACH                                                                                                                                                                                                                                ,Ochrona środowiska,Studia pierwszego stopnia
3,POLITECHNIKA WARSZAWSKA                                                                                                                                                                                                                                        ,Fotonika,Studia drugiego stopnia
3,POLITECHNIKA WARSZAWSKA                                                                                                                                                                                                                                        ,Geodezja i kartografia,Studia pierwszego stopnia
3,POLITECHNIKA WARSZAWSKA                                                                                                                                                                                                                                        ,Fotonika,Studia drugiego stopnia
3,POLITECHNIKA WARSZAWSKA                                                                                                                                                                                                                                        ,Geodezja i kartografia,Studia pierwszego stopnia
3,SOPOCKA SZKOŁA WYŻSZA                                                                                                                                                                                                                                          ,Zarządzanie i inżynieria produkcji,Studia pierwszego stopnia
3,SWPS UNIWERSYTET HUMANISTYCZNOSPOŁECZNY W WARSZAWIE                                                                                                                                                                                                            ,Psychoseksuologia,Studia pierwszego stopnia
3,SWPS UNIWERSYTET HUMANISTYCZNOSPOŁECZNY W WARSZAWIE                                                                                                                                                                                                            ,Psychoseksuologia,Studia pierwszego stopnia
3,UCZELNIA NAUK SPOŁECZNYCH W ŁODZI                                                                                                                                                                                                                              ,Pedagogika,Studia pierwszego stopnia
3,UNIWERSYTET ARTYSTYCZNY W POZNANIU                                                                                                                                                                                                                             ,Kuratorstwo i teorie sztuki,Studia drugiego stopnia
3,UNIWERSYTET HUMANISTYCZNO-PRZYRODNICZY IM. JANA DŁUGOSZA W CZĘSTOCHOWIE                                                                                                                                                                                        ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia pierwszego stopnia
3,UNIWERSYTET HUMANISTYCZNO-PRZYRODNICZY IM. JANA DŁUGOSZA W CZĘSTOCHOWIE                                                                                                                                                                                        ,Historia,Studia pierwszego stopnia
3,UNIWERSYTET HUMANISTYCZNO-PRZYRODNICZY IM. JANA DŁUGOSZA W CZĘSTOCHOWIE                                                                                                                                                                                        ,Filozofia,Studia drugiego stopnia
3,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Humanistyka w szkole - polonistyczno-historyczne studia nauczycielskie,Studia pierwszego stopnia
3,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Wiedza o teatrze,Studia pierwszego stopnia
3,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Ochrona dóbr kultury,Studia drugiego stopnia
3,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,"Filologia (rosyjska, hiszpańska, japonistyka)",Studia pierwszego stopnia
3,UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU                                                                                                                                                                                                                   ,Gospodarka wodna,Studia pierwszego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Filozofia,Studia drugiego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Neofilologia,Studia drugiego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Polonistyka - komparatystyka,Studia pierwszego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Polonistyka - komparatystyka,Studia drugiego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Etyka,Studia pierwszego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Migracje międzynarodowe,Studia drugiego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Astrofizyka i kosmologia,Studia drugiego stopnia
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Biofizyka,Studia magisterskie jednolite
3,UNIWERSYTET JAGIELLOŃSKI W KRAKOWIE                                                                                                                                                                                                                            ,Bioinformatyka z biofizyką stosowaną,Studia drugiego stopnia
3,UNIWERSYTET JANA KOCHANOWSKIEGO W KIELCACH                                                                                                                                                                                                                     ,Sztuki plastyczne,Studia drugiego stopnia
3,UNIWERSYTET KAZIMIERZA WIELKIEGO W BYDGOSZCZY                                                                                                                                                                                                                  ,Filozofia,Studia pierwszego stopnia
3,UNIWERSYTET KAZIMIERZA WIELKIEGO W BYDGOSZCZY                                                                                                                                                                                                                  ,Biologia,Studia drugiego stopnia
3,UNIWERSYTET KAZIMIERZA WIELKIEGO W BYDGOSZCZY                                                                                                                                                                                                                  ,Biotechnologia,Studia drugiego stopnia
3,UNIWERSYTET KAZIMIERZA WIELKIEGO W BYDGOSZCZY                                                                                                                                                                                                                  ,Matematyka,Studia drugiego stopnia
3,UNIWERSYTET ŁÓDZKI                                                                                                                                                                                                                                             ,Filozofia,Studia drugiego stopnia
3,UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE                                                                                                                                                                                                                ,Filozofia,Studia pierwszego stopnia
3,UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE                                                                                                                                                                                                                ,Fizyka,Studia pierwszego stopnia
3,UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE                                                                                                                                                                                                                ,Inżynieria nowoczesnych materiałów,Studia pierwszego stopnia
3,UNIWERSYTET MARII CURIE-SKŁODOWSKIEJ W LUBLINIE                                                                                                                                                                                                                ,Inżynieria nowoczesnych materiałów,Studia drugiego stopnia
3,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia pierwszego stopnia
3,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Muzyka kościelna,Studia pierwszego stopnia
3,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Edukacja artystyczna w zakresie sztuki muzycznej,Studia pierwszego stopnia
3,UNIWERSYTET MUZYCZNY FRYDERYKA CHOPINA W WARSZAWIE                                                                                                                                                                                                             ,Muzyka kościelna,Studia pierwszego stopnia
3,UNIWERSYTET OPOLSKI                                                                                                                                                                                                                                            ,Socjologia,Studia drugiego stopnia
3,UNIWERSYTET PRZYRODNICZY W LUBLINIE                                                                                                                                                                                                                            ,Geodezja i kartografia,Studia pierwszego stopnia
3,UNIWERSYTET PRZYRODNICZY W POZNANIU                                                                                                                                                                                                                            ,Informatyka stosowana,Studia drugiego stopnia
3,UNIWERSYTET PRZYRODNICZY W POZNANIU                                                                                                                                                                                                                            ,Projektowanie mebli,Studia drugiego stopnia
3,UNIWERSYTET ROLNICZY IM. HUGONA KOŁŁĄTAJA W KRAKOWIE                                                                                                                                                                                                           ,International master of horticultural science,Studia drugiego stopnia
3,UNIWERSYTET RZESZOWSKI                                                                                                                                                                                                                                         ,Archeologia,Studia drugiego stopnia
3,UNIWERSYTET RZESZOWSKI                                                                                                                                                                                                                                         ,Filozofia,Studia drugiego stopnia
3,UNIWERSYTET SZCZECIŃSKI                                                                                                                                                                                                                                        ,Nauki o polityce,Studia pierwszego stopnia
3,UNIWERSYTET SZCZECIŃSKI                                                                                                                                                                                                                                        ,Mediacja międzykulturowa,Studia pierwszego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Malarstwo i projekty interdyscyplinarne,Studia drugiego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Geofizyka,Studia pierwszego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Biofizyka,Studia pierwszego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Fizyka,Studia pierwszego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Mikro i nanotechnologia,Studia drugiego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Inżynieria materiałowa,Studia pierwszego stopnia
3,UNIWERSYTET ŚLĄSKI W KATOWICACH                                                                                                                                                                                                                                ,Doradztwo filozoficzne i coaching,Studia drugiego stopnia
3,UNIWERSYTET TECHNOLOGICZNO-HUMANISTYCZNY  IM. KAZIMIERZA PUŁASKIEGO W RADOMIU                                                                                                                                                                                  ,Architektura wnętrz,Studia pierwszego stopnia
3,UNIWERSYTET TECHNOLOGICZNO-HUMANISTYCZNY  IM. KAZIMIERZA PUŁASKIEGO W RADOMIU                                                                                                                                                                                  ,Architektura wnętrz,Studia pierwszego stopnia
3,UNIWERSYTET W BIAŁYMSTOKU                                                                                                                                                                                                                                      ,Studia wschodnie,Studia pierwszego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Historia i kultura żydów,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Kulturoznawstwo - wiedza o kulturze,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Socjologia,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Zarządzanie środowiskiem,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Energetyka i chemia jądrowa,Studia pierwszego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Informatyka,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Historia i kultura żydów,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Kulturoznawstwo - wiedza o kulturze,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Socjologia,Studia drugiego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Zarządzanie środowiskiem,Studia drugiego stopnia
